"term","freq","freq.rel","freq.rel.100","freq.text.100"
"Annotation Studio",1,0.0072463768115942,0.72463768115942,0.233100233100233
"CLI",1,0.0072463768115942,0.72463768115942,0.233100233100233
"CollateX",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Docker",1,0.0072463768115942,0.72463768115942,0.233100233100233
"dplyr()",1,0.0072463768115942,0.72463768115942,0.233100233100233
"eLaborate",1,0.0072463768115942,0.72463768115942,0.233100233100233
"GATE",1,0.0072463768115942,0.72463768115942,0.233100233100233
"HTR",1,0.0072463768115942,0.72463768115942,0.233100233100233
"IIIF",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Intranet",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Jekyll",1,0.0072463768115942,0.72463768115942,0.233100233100233
"jQuery",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Kitodo",1,0.0072463768115942,0.72463768115942,0.233100233100233
"LIWC",1,0.0072463768115942,0.72463768115942,0.233100233100233
"LombardPress",1,0.0072463768115942,0.72463768115942,0.233100233100233
"MariaDB",1,0.0072463768115942,0.72463768115942,0.233100233100233
"MongoDB",1,0.0072463768115942,0.72463768115942,0.233100233100233
"ODD",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Poemage",1,0.0072463768115942,0.72463768115942,0.233100233100233
"QGIS",1,0.0072463768115942,0.72463768115942,0.233100233100233
"RESTful",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Salt",1,0.0072463768115942,0.72463768115942,0.233100233100233
"T-Pen",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Textual Communities",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Toolbox",1,0.0072463768115942,0.72463768115942,0.233100233100233
"Transkribus",1,0.0072463768115942,0.72463768115942,0.233100233100233
"VPN",1,0.0072463768115942,0.72463768115942,0.233100233100233
