subject,label,tadirah.id,wd.deleted,wd.item
https://vocabs.dariah.eu/tadirah/machineLearning,machineLearning,machineLearning,FALSE,Q2539
https://vocabs.dariah.eu/tadirah/analyzing,analyzing,analyzing,NA,NA
https://vocabs.dariah.eu/tadirah/commenting,commenting,commenting,NA,NA
https://vocabs.dariah.eu/tadirah/drawing,drawing,drawing,FALSE,Q93184
https://vocabs.dariah.eu/tadirah/debugging,debugging,debugging,FALSE,Q845566
https://vocabs.dariah.eu/tadirah/academicPublishing,academicPublishing,academicPublishing,FALSE,Q5246046
https://vocabs.dariah.eu/tadirah/translating,translation,translating,FALSE,Q7553
https://vocabs.dariah.eu/tadirah/sentimentAnalysis,sentimentAnalysis,sentimentAnalysis,FALSE,Q2271421
https://vocabs.dariah.eu/tadirah/genreRecognition,genreRecognition,genreRecognition,NA,NA
https://vocabs.dariah.eu/tadirah/storing,storing,storing,NA,NA
https://vocabs.dariah.eu/tadirah/supplementing,supplementing,supplementing,TRUE,Q98848097
https://vocabs.dariah.eu/tadirah/knowledgeDiscovery,knowledgeDiscovery,knowledgeDiscovery,TRUE,Q98847144
https://vocabs.dariah.eu/tadirah/semantification,semantification,semantification,NA,NA
https://vocabs.dariah.eu/tadirah/webScraping,webScraping,webScraping,FALSE,Q665452
https://vocabs.dariah.eu/tadirah/treeTagging,treeTagging,treeTagging,TRUE,Q98845582
https://vocabs.dariah.eu/tadirah/webCrawling,webCrawling,webCrawling,FALSE,Q61466324
https://vocabs.dariah.eu/tadirah/posTagging,posTagging,posTagging,FALSE,Q1271424
https://vocabs.dariah.eu/tadirah/formatting,formatting,formatting,TRUE,Q98848248
https://vocabs.dariah.eu/tadirah/converting,data conversion,converting,FALSE,Q1783551
https://vocabs.dariah.eu/tadirah/contrastiveAnalysis,contrastiveAnalysis,contrastiveAnalysis,FALSE,Q614959
https://vocabs.dariah.eu/tadirah/associate,associate,associate,FALSE,Q2868277
https://vocabs.dariah.eu/tadirah/georeferencing,georeferencing,georeferencing,FALSE,Q772007
https://vocabs.dariah.eu/tadirah/audioConferencing,audioConferencing,audioConferencing,FALSE,Q58199
https://vocabs.dariah.eu/tadirah/wireframing,wireframing,wireframing,TRUE,Q98845203
https://vocabs.dariah.eu/tadirah/uniformResourceIdentifier,uniformResourceIdentifier,uniformResourceIdentifier,FALSE,Q61694
https://vocabs.dariah.eu/tadirah/graphicsProgramming,graphicsProgramming,graphicsProgramming,TRUE,Q98845304
https://vocabs.dariah.eu/tadirah/capturing,capturing,capturing,NA,NA
https://vocabs.dariah.eu/tadirah/networkAnalysis,network analysis,networkAnalysis,FALSE,Q4417999
https://vocabs.dariah.eu/tadirah/publishing,publishing,publishing,FALSE,Q3972943
https://vocabs.dariah.eu/tadirah/persistentIdentifier,persistentIdentifier,persistentIdentifier,FALSE,Q420330
https://vocabs.dariah.eu/tadirah/cropping,cropping,cropping,FALSE,Q785116
https://vocabs.dariah.eu/tadirah/dataCleansing,data cleansing,dataCleansing,FALSE,Q1172378
https://vocabs.dariah.eu/tadirah/explanation,explanation,explanation,FALSE,Q7958
https://vocabs.dariah.eu/tadirah/topicModeling,topicModeling,topicModeling,FALSE,Q96468792
https://vocabs.dariah.eu/tadirah/annotating,annotating,annotating,NA,NA
https://vocabs.dariah.eu/tadirah/dataVisualization,dataVisualization,dataVisualization,FALSE,Q6504956
https://vocabs.dariah.eu/tadirah/querying,querying,querying,TRUE,Q98847088
https://vocabs.dariah.eu/tadirah/eMailing,eMailing,eMailing,FALSE,Q386274
https://vocabs.dariah.eu/tadirah/disseminating,disseminating,disseminating,NA,NA
https://vocabs.dariah.eu/tadirah/emulation,emulation,emulation,FALSE,Q202871
https://vocabs.dariah.eu/tadirah/knowledgeExtraction,knowledgeExtraction,knowledgeExtraction,FALSE,Q1582085
https://vocabs.dariah.eu/tadirah/replication,replication,replication,FALSE,Q1332873
https://vocabs.dariah.eu/tadirah/collecting,collecting,collecting,FALSE,Q208165
https://vocabs.dariah.eu/tadirah/identifier,identifier,identifier,FALSE,Q853614
https://vocabs.dariah.eu/tadirah/textCategorization,textCategorization,textCategorization,FALSE,Q102190629
https://vocabs.dariah.eu/tadirah/diagramming,diagramming,diagramming,TRUE,Q98845265
https://vocabs.dariah.eu/tadirah/creating,creating,creating,NA,NA
https://vocabs.dariah.eu/tadirah/improving,improving,improving,FALSE,Q21255975
https://vocabs.dariah.eu/tadirah/adding,adding,adding,FALSE,Q32043
https://vocabs.dariah.eu/tadirah/scanning,scanning,scanning,FALSE,Q59155052
https://vocabs.dariah.eu/tadirah/audioRecording,audioRecording,audioRecording,FALSE,Q3302947
https://vocabs.dariah.eu/tadirah/collocationAnalysis,collocationAnalysis,collocationAnalysis,NA,NA
https://vocabs.dariah.eu/tadirah/identifying,identification,identifying,FALSE,Q3265221
https://vocabs.dariah.eu/tadirah/socialNetworking,socialNetworking,socialNetworking,FALSE,Q19368491
https://vocabs.dariah.eu/tadirah/transcribing,transcribing,transcribing,NA,NA
https://vocabs.dariah.eu/tadirah/digitalPublishing,digitalPublishing,digitalPublishing,FALSE,Q1224844
