"id","organizer","conference"
"483","9","308"
"484","9","309"
"485","9","310"
"486","45","311"
"487","45","312"
"488","45","313"
"489","45","314"
"490","45","315"
"491","45","316"
"492","45","317"
"493","46","318"
"494","47","319"
"495","47","320"
"496","48","321"
"497","48","322"
"498","48","323"
"499","48","324"
"500","48","325"
"501","48","326"
"502","48","327"
"503","48","328"
"504","48","329"
"505","48","330"
"506","49","331"
"507","49","332"
"508","49","333"
"509","49","334"
"510","49","335"
"511","49","336"
"512","49","337"
"513","49","338"
"514","49","339"
"515","49","340"
"517","49","342"
"518","49","343"
"519","49","344"
"520","49","345"
"521","49","346"
"522","49","347"
"523","49","348"
"524","49","349"
"525","49","350"
"526","50","351"
"527","50","352"
"528","50","353"
"580","3","5"
"581","2","5"
"590","3","22"
"591","2","22"
"592","3","24"
"593","2","24"
"621","2","73"
"627","42","283"
"628","30","205"
"629","40","261"
"632","51","419"
"634","51","420"
"636","51","421"
"638","51","422"
"641","51","423"
"643","51","424"
"646","51","425"
"649","51","426"
"651","51","427"
"653","51","428"
"655","51","429"
"658","52","430"
"659","12","430"
"662","52","431"
"663","12","431"
"670","52","432"
"671","12","432"
"674","52","433"
"675","12","433"
"678","52","434"
"679","12","434"
"682","52","435"
"683","12","435"
"686","52","436"
"687","12","436"
"690","52","437"
"691","12","437"
"696","52","438"
"697","12","438"
"700","52","439"
"701","12","439"
"706","52","440"
"707","12","440"
"710","52","441"
"711","12","441"
"714","52","442"
"715","12","442"
"718","52","443"
"719","12","443"
"722","52","444"
"723","12","444"
"726","52","445"
"727","12","445"
"730","52","446"
"731","12","446"
"736","52","447"
"737","12","447"
"740","52","448"
"741","12","448"
"744","52","449"
"745","12","449"
"748","52","450"
"749","12","450"
"752","52","451"
"753","12","451"
"758","52","452"
"759","12","452"
"762","52","453"
"763","12","453"
"766","52","454"
"767","12","454"
"788","42","277"
"789","42","281"
"790","42","276"
"821","53","459"
"823","53","460"
"825","3","66"
"829","53","461"
"834","3","67"
"838","53","462"
"840","53","463"
"843","2","75"
"845","3","69"
"847","3","58"
"848","3","70"
"850","43","288"
"855","3","60"
"856","2","78"
"857","3","61"
"858","3","62"
"859","2","79"
"862","3","63"
"863","43","291"
"864","12","114"
"865","3","64"
"868","2","33"
"869","3","33"
"870","12","117"
"871","2","31"
"872","3","31"
"873","2","30"
"874","3","30"
"875","2","29"
"876","3","29"
"877","2","28"
"878","3","28"
"883","53","464"
"886","8","80"
"888","7","45"
"889","5","39"
"890","5","40"
"891","5","41"
"892","5","42"
"893","7","44"
"894","7","46"
"895","7","47"
"896","7","48"
"897","7","49"
"898","7","50"
"899","7","51"
"900","7","52"
"902","4","34"
"903","4","35"
"907","8","81"
"908","8","82"
"910","53","466"
"912","53","467"
"915","53","468"
"917","53","469"
"919","53","470"
"922","53","471"
"925","53","472"
"929","53","473"
"930","53","455"
"931","53","457"
"932","53","456"
"935","53","474"
"937","53","475"
"940","53","476"
"943","53","477"
"945","53","478"
"946","53","465"
"948","53","479"
"950","53","480"
"953","53","481"
"958","53","483"
"959","53","482"
"962","53","484"
"964","53","485"
"966","53","486"
"969","2","1"
"970","3","1"
"971","2","2"
"972","3","2"
"975","2","4"
"976","3","4"
"977","2","6"
"978","3","6"
"990","32","212"
"991","32","213"
"992","32","214"
"993","32","216"
"994","32","217"
"995","32","215"
"1007","2","27"
"1008","3","27"
"1015","3","68"
"1019","2","3"
"1020","3","3"
"1021","2","32"
"1022","3","32"
"1025","1","14"
"1030","2","26"
"1031","3","26"
"1037","2","98"
"1046","3","57"
"1049","3","59"
"1050","3","54"
"1056","3","55"
"1058","3","56"
"1063","2","76"
"1065","3","53"
"1073","3","156"
"1082","2","21"
"1083","9","21"
"1088","1","17"
"1099","2","74"
"1102","42","493"
"1103","42","492"
"1105","1","13"
"1106","1","15"
"1117","12","145"
"1118","18","145"
"1119","12","105"
"1120","12","113"
"1121","12","140"
"1122","18","140"
"1123","12","139"
"1124","18","139"
"1125","12","138"
"1126","18","138"
"1127","12","137"
"1128","18","137"
"1129","12","146"
"1130","18","146"
"1131","12","144"
"1132","18","144"
"1133","12","143"
"1134","18","143"
"1135","12","142"
"1136","18","142"
"1137","12","141"
"1138","18","141"
"1139","12","136"
"1140","18","136"
"1141","37","234"
"1142","37","245"
"1143","37","251"
"1144","37","252"
"1145","37","253"
"1146","37","254"
"1147","37","255"
"1150","37","235"
"1151","37","236"
"1152","37","237"
"1153","37","238"
"1154","37","239"
"1155","37","240"
"1156","37","242"
"1157","37","243"
"1158","37","246"
"1159","37","247"
"1160","37","249"
"1161","37","250"
"1162","3","65"
"1164","27","182"
"1173","1","12"
"1176","1","11"
"1177","1","10"
"1179","1","9"
"1188","1","8"
"1194","1","20"
"1196","1","495"
"1201","1","23"
"1202","10","84"
"1204","20","157"
"1207","4","497"
"1208","4","37"
"1209","4","38"
"1214","55","500"
"1216","55","499"
"1219","55","501"
"1220","2","7"
"1221","1","7"
"1222","3","7"
"1223","42","278"
"1224","42","458"
"1226","13","100"
"1228","2","72"
"1229","1","18"
"1230","1","16"
"1238","23","507"
"1239","4","506"
"1242","23","508"
"1243","43","290"
"1244","37","256"
"1245","37","257"
"1246","11","86"
"1247","12","86"
"1248","2","25"
"1249","3","25"
"1251","3","71"
"1252","49","341"
"1253","3","43"
"1254","6","43"
"1255","4","36"
"1256","2","77"
