"id","label","persistentId","source.label","sourceItemId","source.urlTemplate","concept.vocabulary.code","concept.code","concept.uri"
44390,"Aeon Timeline","foI8Mi","TAPoR","874","http://tapor.ca/tools/{source-item-id}","tadirah2","visualAnalysis","https://vocabs.dariah.eu/tadirah/visualAnalysis"
44391,"Afloat","5A70DH","TAPoR","1439","http://tapor.ca/tools/{source-item-id}","tadirah2","communicating","https://vocabs.dariah.eu/tadirah/communicating"
44394,"A-frame","2zIseh","TAPoR","1598","http://tapor.ca/tools/{source-item-id}","tadirah2","creating","https://vocabs.dariah.eu/tadirah/creating"
44394,"A-frame","2zIseh","TAPoR","1598","http://tapor.ca/tools/{source-item-id}","tadirah2","enriching","https://vocabs.dariah.eu/tadirah/enriching"
44394,"A-frame","2zIseh","TAPoR","1598","http://tapor.ca/tools/{source-item-id}","tadirah2","creating","https://vocabs.dariah.eu/tadirah/creating"
44394,"A-frame","2zIseh","TAPoR","1598","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44394,"A-frame","2zIseh","TAPoR","1598","http://tapor.ca/tools/{source-item-id}","tadirah2","imaging","https://vocabs.dariah.eu/tadirah/imaging"
44394,"A-frame","2zIseh","TAPoR","1598","http://tapor.ca/tools/{source-item-id}","tadirah2","webDevelopment","https://vocabs.dariah.eu/tadirah/webDevelopment"
40326,"Agisoft Metashape","isedTr",NA,NA,NA,"tadirah2","capturing","https://vocabs.dariah.eu/tadirah/capturing"
40326,"Agisoft Metashape","isedTr",NA,NA,NA,"tadirah2","spatialAnalysis","https://vocabs.dariah.eu/tadirah/spatialAnalysis"
40326,"Agisoft Metashape","isedTr",NA,NA,NA,"tadirah2","enriching","https://vocabs.dariah.eu/tadirah/enriching"
40326,"Agisoft Metashape","isedTr",NA,NA,NA,"tadirah2","editing","https://vocabs.dariah.eu/tadirah/editing"
40326,"Agisoft Metashape","isedTr",NA,NA,NA,"tadirah2","imaging","https://vocabs.dariah.eu/tadirah/imaging"
40778,"Aïoli platform","knCcCv","SSHopencloud Service Catalogue","225","https://www.sshopencloud.eu/node/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","creating","https://vocabs.dariah.eu/tadirah/creating"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","archiving","https://vocabs.dariah.eu/tadirah/archiving"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","commenting","https://vocabs.dariah.eu/tadirah/commenting"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","organizing","https://vocabs.dariah.eu/tadirah/organizing"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","organizing","https://vocabs.dariah.eu/tadirah/organizing"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","sharing","https://vocabs.dariah.eu/tadirah/sharing"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","storing","https://vocabs.dariah.eu/tadirah/storing"
44399,"Alfresco","bbGlRd","TAPoR","1635","http://tapor.ca/tools/{source-item-id}","tadirah2","storing","https://vocabs.dariah.eu/tadirah/storing"
44401,"ALGOL","YKv47J","TAPoR","487","http://tapor.ca/tools/{source-item-id}","tadirah2","programming","https://vocabs.dariah.eu/tadirah/programming"
44401,"ALGOL","YKv47J","TAPoR","487","http://tapor.ca/tools/{source-item-id}","tadirah2","creating","https://vocabs.dariah.eu/tadirah/creating"
44401,"ALGOL","YKv47J","TAPoR","487","http://tapor.ca/tools/{source-item-id}","tadirah2","programming","https://vocabs.dariah.eu/tadirah/programming"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","visualAnalysis","https://vocabs.dariah.eu/tadirah/visualAnalysis"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44405,"All Our Ideas","7otnya","TAPoR","1029","http://tapor.ca/tools/{source-item-id}","tadirah2","crowdsourcing","https://vocabs.dariah.eu/tadirah/crowdsourcing"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","creating","https://vocabs.dariah.eu/tadirah/creating"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","modeling","https://vocabs.dariah.eu/tadirah/modeling"
