"ssh.id" "ssh.label" "tadirah.id" "tadirah.uri" "wd.tadirahid" "wd.label" "tapor.id" "tapor.label" "tapor.desc" "wd.item"
"25" "y2dwph" "Academia.edu" "disseminating" "https://vocabs.dariah.eu/tadirah/disseminating" "Q123819226" "disseminating" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"26" "y2dwph" "Academia.edu" "sharing" "https://vocabs.dariah.eu/tadirah/sharing" "Q459221" "sharing" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"27" "lgyrt9" "ACERR - The Arts and Culture in Education Research Repository for Ireland" "teaching" "https://vocabs.dariah.eu/tadirah/teaching" "Q352842" "teaching" NA NA NA NA
"28" "lgyrt9" "ACERR - The Arts and Culture in Education Research Repository for Ireland" "discourseAnalysis" "https://vocabs.dariah.eu/tadirah/discourseAnalysis" "Q1129466" "discourseAnalysis" NA NA NA NA
"29" "lgyrt9" "ACERR - The Arts and Culture in Education Research Repository for Ireland" "dataVisualization" "https://vocabs.dariah.eu/tadirah/dataVisualization" "Q6504956" "dataVisualization" NA NA NA NA
"30" "lgyrt9" "ACERR - The Arts and Culture in Education Research Repository for Ireland" "writing" "https://vocabs.dariah.eu/tadirah/writing" "Q110484020" "writing" NA NA NA NA
"31" "lgyrt9" "ACERR - The Arts and Culture in Education Research Repository for Ireland" "storing" "https://vocabs.dariah.eu/tadirah/storing" "Q123819222" "storing" NA NA NA NA
"32" "j8MRN1" "Active Server Pages (ASP)" "publishing" "https://vocabs.dariah.eu/tadirah/publishing" "Q3972943" "publishing" "784" "ASP.NET" "ASP.NET is an open source web framework for building modern web apps and services with .NET. ASP.NET creates websites based on HTML5, CSS, and JavaScript that are simple, fast, and can scale to millions of users." "Q178817"
"33" "j8MRN1" "Active Server Pages (ASP)" "webDevelopment" "https://vocabs.dariah.eu/tadirah/webDevelopment" "Q386275" "web development" "784" "ASP.NET" "ASP.NET is an open source web framework for building modern web apps and services with .NET. ASP.NET creates websites based on HTML5, CSS, and JavaScript that are simple, fast, and can scale to millions of users." "Q178817"
"34" "S31g4F" "Adlib Archive" "publishing" "https://vocabs.dariah.eu/tadirah/publishing" "Q3972943" "publishing" "781" "Adlib Archive" "Adlib Archive is archival management software that allows archives to create records for objects and make them available online. Adlib Archive is also available as software-as-a-service." NA
"35" "KdAfc6" "Adobe Acrobat Distiller" "enriching" "https://vocabs.dariah.eu/tadirah/enriching" "Q123750937" "enriching" "782" "Adobe Acrobat" "Adobe Acrobat Distiller was software for converting Postscript files to PDF. It was discontinued in 2013, with the exception of a server-based version." "Q207902"
"36" "Tpi8KE" "Adobe Bridge" "imaging" "https://vocabs.dariah.eu/tadirah/imaging" "Q12713609" "imaging" "1214" "Adobe Bridge" "Adobe Bridge is a media management application used for organizing, browsing, locating, and viewing creative assets. It was provided as a part of the Adobe Creative Suite, beginning with CS2, and is now in version CS5Features: Tightly integrated with other Adobe suite software (except for the standalone version of Adobe Acrobat 8)Extensible through use of Javascript" "Q1068393"
"37" "Tpi8KE" "Adobe Bridge" "designing" "https://vocabs.dariah.eu/tadirah/designing" "Q123783459" "designing" "1214" "Adobe Bridge" "Adobe Bridge is a media management application used for organizing, browsing, locating, and viewing creative assets. It was provided as a part of the Adobe Creative Suite, beginning with CS2, and is now in version CS5Features: Tightly integrated with other Adobe suite software (except for the standalone version of Adobe Acrobat 8)Extensible through use of Javascript" "Q1068393"
"38" "6ssOMC" "Adobe Dreamweaver" "webDevelopment" "https://vocabs.dariah.eu/tadirah/webDevelopment" "Q386275" "web development" "1250" "Adobe Dreamweaver" "A visual development tool for creating, publishing, and managing websites and mobile content: Dreamweaver offers a graphics-based WYSIWYG (What You See Is What You GET pronounced wizzywig) and code-based user interface for the development of web pages and sites. The tool may be used to simplify the process of web site development (in comparison to creation of individual web pages), through the provision of a templating system that allows single-source update of shared code and layout across entire sites without server-side includes or scripting.Features: WYSIWYG  Code hinting for Ajax and JavaScript frameworks  Subversion integration  FTP/SFTP support  WebDav support  Web site template system  Adobe Spry AJAX framework support" "Q192324"
"39" "6ssOMC" "Adobe Dreamweaver" "designing" "https://vocabs.dariah.eu/tadirah/designing" "Q123783459" "designing" "1250" "Adobe Dreamweaver" "A visual development tool for creating, publishing, and managing websites and mobile content: Dreamweaver offers a graphics-based WYSIWYG (What You See Is What You GET pronounced wizzywig) and code-based user interface for the development of web pages and sites. The tool may be used to simplify the process of web site development (in comparison to creation of individual web pages), through the provision of a templating system that allows single-source update of shared code and layout across entire sites without server-side includes or scripting.Features: WYSIWYG  Code hinting for Ajax and JavaScript frameworks  Subversion integration  FTP/SFTP support  WebDav support  Web site template system  Adobe Spry AJAX framework support" "Q192324"
"40" "usExJA" "Adobe Illustrator" "designing" "https://vocabs.dariah.eu/tadirah/designing" "Q123783459" "designing" "1215" "Adobe Illustrator" "Adobe Illustrator is a comprehensive vector graphics environment that is ideal for all creative professionals, including web and interactive designers and developers, multimedia producers, motion graphics and visual effects designers, animators, and video professionals. Adobe Creative Suite products, including Illustrator, have recently moved to a subscription based service model.  Adobe Illustrator CS6 was the last version released on disk. Adobe Illustrator Creative Cloud is now available starting at $19.99/month.Features of Adobe Illustrator CC include: Use powerful creative toolsBoost productivityDeliver virtually anywhereTightly integrated with other Adobe suite softwareRaster and type-in vector format supportMobile and tablet suport Cloud storage" "Q215016"
"41" "aeQ2f6" "Adobe InDesign" "designing" "https://vocabs.dariah.eu/tadirah/designing" "Q123783459" "designing" "1216" "Adobe InDesign" "InDesign is a desktop publishing (DTP) software application which can be used to create periodical publications, posters, flyers, brochures, magazines and books. The latest version, InDesign CS5.5 , is the twelfth generation in the product line.Features: Tightly integrated with other Adobe suite softwareDynamic cross-reference support that updates content when moved within a documentSpread rotationSmart guides (Quickly align space, rotate, and resize single or multiple objects with the help of dynamic guides.)Conditional text (Deliver multiple versions of a document for different users, all from a single Adobe InDesign source file. Hide text at paragraph, word, and even character level without relying on layers. The remaining text and anchored objects automatically reflow in the layout.)Smart Text Reflow (Automatically add pages at the end of a story, selection, or document when text is overset using this new preference.)Live Preflight" "Q218924"
"42" "RY4LgT" "Advene" "dataVisualization" "https://vocabs.dariah.eu/tadirah/dataVisualization" "Q6504956" "dataVisualization" "940" "Advene" "The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation intoautomatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams)." "Q105848625"
"43" "RY4LgT" "Advene" "visualAnalysis" "https://vocabs.dariah.eu/tadirah/visualAnalysis" "Q95832426" "visualAnalysis" "940" "Advene" "The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation intoautomatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams)." "Q105848625"
"44" "RY4LgT" "Advene" "collaborating" "https://vocabs.dariah.eu/tadirah/collaborating" "Q1145523" "collaborating" "940" "Advene" "The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation intoautomatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams)." "Q105848625"
"45" "RY4LgT" "Advene" "annotating" "https://vocabs.dariah.eu/tadirah/annotating" "Q857525" "annotating" "940" "Advene" "The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation intoautomatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams)." "Q105848625"
