"ssh.id","ssh.label","tapor.id","wd.item","wd.item.tadirah","tadirah.uri"
"90","4UtwMD","Alteryx","1633","Q73883753","Q1116876","https://vocabs.dariah.eu/tadirah/modeling"
"91","4UtwMD","Alteryx","1633","Q73883753","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"92","4UtwMD","Alteryx","1633","Q73883753","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"93","4UtwMD","Alteryx","1633","Q73883753","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"94","4UtwMD","Alteryx","1633","Q73883753","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"95","4UtwMD","Alteryx","1633","Q73883753","Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"96","4UtwMD","Alteryx","1633","Q73883753","Q1172378","https://vocabs.dariah.eu/tadirah/dataCleansing"
"97","4UtwMD","Alteryx","1633","Q73883753","Q15756478","https://vocabs.dariah.eu/tadirah/interpreting"
"98","4UtwMD","Alteryx","1633","Q73883753","Q123783455","https://vocabs.dariah.eu/tadirah/dataRecognition"
"99","tNPMTo","Altmetric","1036",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"100","tNPMTo","Altmetric","1036",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"101","eeF0pG","Alt.Text","510",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"102","eeF0pG","Alt.Text","510",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"103","eeF0pG","Alt.Text","510",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"104","eeF0pG","Alt.Text","510",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"105","tAGITn","Alveo","530",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"106","tAGITn","Alveo","530",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"107","tAGITn","Alveo","530",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"108","tAGITn","Alveo","530",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"109","tAGITn","Alveo","530",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"110","tAGITn","Alveo","530",NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"111","tAGITn","Alveo","530",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"112","sJVV15","Alveo Virtual Laboratory","708",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
