"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q96075529","382","3Zv4xY","Q95832426","visualAnalysis"
"Q2049294","1009","9x0XmY","Q7553","translating"
"Q18158204","739","l6iZit","Q1145523","collaborating"
"Q18158204","739","l6iZit","Q123751128","gathering"
"Q18158204","739","l6iZit","Q857525","annotating"
"Q18158204","739","l6iZit","Q36993249","organizing"
"Q18158204","739","l6iZit","Q459221","sharing"
"Q18158204","739","l6iZit","Q110484020","writing"
"Q7132759","1336","G2XVZJ","Q36993249","organizing"
"Q47405152","1207","oeIlIk","Q61466324","webCrawling"
"Q47405152","204","xGOwaf","Q4417999","networkAnalysis"
"Q47405152","204","xGOwaf","Q6504956","dataVisualization"
"Q47405152","204","xGOwaf","Q217602","analyzing"
"Q47405152","204","xGOwaf","Q95832426","visualAnalysis"
"Q47405152","204","xGOwaf","Q653137","contentAnalysis"
"Q1143775","1278","P928Fj","Q1783551","converting"
"Q29364603","1613","OjmFqc","Q123819227","creating"
"Q29364603","1613","OjmFqc","Q194105","editing"
"Q29364603","1613","OjmFqc","Q857525","annotating"
"Q29364603","1613","OjmFqc","Q123783460","commenting"
"Q107382944","1277","SXoKhG","Q123819225","capturing"
"Q107382944","1277","SXoKhG","Q217602","analyzing"
"Q3898451","1275","kdp7gj","Q1783551","converting"
"Q3898451","1275","kdp7gj","Q194105","editing"
"Q3898451","1275","kdp7gj","Q36993249","organizing"
"Q307465","1274","wpPk4I","Q194105","editing"
"Q307465","1274","wpPk4I","Q36993249","organizing"
"Q42478","1252","KmAwe6","Q123819227","creating"
"Q42478","1252","KmAwe6","Q80006","programming"
"Q42478","1252","KmAwe6","Q386275","webDevelopment"
"Q360363","1496","BY7uGK","Q123819227","creating"
"Q360363","1496","BY7uGK","Q123819225","capturing"
"Q360363","1496","BY7uGK","Q123750937","enriching"
"Q360363","1496","BY7uGK","Q194105","editing"
"Q360363","1496","BY7uGK","Q1172378","dataCleansing"
"Q360363","1496","BY7uGK","Q123819226","disseminating"
"Q360363","1496","BY7uGK","Q459221","sharing"
"Q360363","1496","BY7uGK","Q123819222","storing"
"Q360363","1496","BY7uGK","Q12713609","imaging"
"Q1047941","1494","fklI3W","Q123819225","capturing"
"Q1047941","1494","fklI3W","Q12772819","discovering"
"Q1047941","1494","fklI3W","Q123819226","disseminating"
"Q1047941","1494","fklI3W","Q36993249","organizing"
"Q1047941","1494","fklI3W","Q459221","sharing"
"Q1047941","1494","fklI3W","Q123819222","storing"
"Q1114200","1493","uwgrun","Q1172378","dataCleansing"
"Q17074977","1659","EBBe1y","Q6504956","dataVisualization"
"Q17074977","1659","EBBe1y","Q653137","contentAnalysis"
"Q7194874","1052","E9dIJj","Q10418049","archiving"
